FEN,Outcome
8/5p2/p3k3/8/8/6K1/8/1q6 w - - 0 1,0.5
8/5p2/p3k3/8/8/8/5K2/1q6 b - - 0 1,0.5
8/5p2/p3k1q1/8/8/8/5K2/8 w - - 0 1,0.5
8/5p2/p3k1q1/8/8/4K3/8/8 b - - 0 1,0.5
8/5p2/p3k3/5q2/8/4K3/8/8 w - - 0 1,0.5
8/5p2/p3k3/5q2/3K4/8/8/8 b - - 0 1,0.5
8/5p2/p3k1q1/8/3K4/8/8/8 w - - 0 1,0.5
8/5p2/p3k1q1/8/8/4K3/8/8 b - - 0 1,0.5
8/5p2/p3k3/8/8/4K3/8/1q6 w - - 0 1,0.5
8/5p2/p3k3/8/5K2/8/8/1q6 b - - 0 1,0.5
8/5p2/p2k4/8/5K2/8/8/1q6 w - - 0 1,0.5
8/5p2/p2k4/8/8/6K1/8/1q6 b - - 0 1,0.5
8/2k2p2/p7/8/8/6K1/8/1q6 w - - 0 1,0.5
8/2k2p2/p7/8/8/7K/8/1q6 b - - 0 1,0.5
8/2k2p2/p7/8/8/7K/8/5q2 w - - 0 1,0.5
8/2k2p2/p7/8/6K1/8/8/5q2 b - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/5N2/PPPPPPPP/RNBQKB1R w - - 0 1,0.5
r1bqkbnr/pppppppp/2n5/8/8/2N2N2/PPPPPPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppppppp/5n2/8/3N4/2N5/PPP1PPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppppppp1/5n1p/8/3N4/2N5/PPP1PPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppppppp1/5n1B/8/3N4/2N5/PPP1PPPP/R2QKB1R b - - 0 1,0.5
r1bqkb2/ppppppp1/5n1r/8/3N4/2N5/PPP1PPPP/R2QKB1R w - - 0 1,0.5
r1bqkb2/ppppppp1/5n1r/8/3N4/2N5/PPP1PPPP/R1Q1KB1R b - - 0 1,0.5
r1bqkb2/ppppppp1/5n2/8/3N4/2N4r/PPP1PPPP/R1Q1KB1R w - - 0 1,0.5
r1bqkb2/ppppppp1/5n2/8/3N4/2N4P/PPP1PP1P/R1Q1KB1R b - - 0 1,0.5
r1bqkb2/pppp1pp1/5n2/4p3/3N4/2N4P/PPP1PP1P/R1Q1KB1R w - - 0 1,0.5
r1bqkb2/pppp1pp1/5n2/4p3/3NP3/2N4P/PPP2P1P/R1Q1KB1R b - - 0 1,0.5
r1bqkb2/pppp1pp1/5n2/8/3pP3/2N4P/PPP2P1P/R1Q1KB1R w - - 0 1,0.5
r1bqkb2/pppp1pp1/5n2/3N4/3pP3/7P/PPP2P1P/R1Q1KB1R b - - 0 1,0.5
r1bqkb2/pppp1pp1/8/3n4/3pP3/7P/PPP2P1P/R1Q1KB1R w - - 0 1,0.5
r1bqkb2/pppp1pp1/8/3P4/3p4/7P/PPP2P1P/R1Q1KB1R b - - 0 1,0.5
r1bqkb2/ppp2pp1/3p4/3P4/3p4/7P/PPP2P1P/R1Q1KB1R w - - 0 1,0.5
r1bqkb2/ppp2pp1/3p4/3P4/3p4/7P/PPP2P1P/R2QKB1R b - - 0 1,0.5
r1bqk3/ppp1bpp1/3p4/3P4/3p4/7P/PPP2P1P/R2QKB1R w - - 0 1,0.5
r1bqk3/ppp1bpp1/3p4/3P4/3Q4/7P/PPP2P1P/R3KB1R b - - 0 1,0.5
r2qk3/ppp1bpp1/3p4/3P4/3Q4/7b/PPP2P1P/R3KB1R w - - 0 1,0.5
r2qk3/ppp1bpp1/3p4/3P4/3Q4/7B/PPP2P1P/R3K2R b - - 0 1,0.5
2rqk3/ppp1bpp1/3p4/3P4/3Q4/7B/PPP2P1P/R3K2R w - - 0 1,0.5
2Bqk3/ppp1bpp1/3p4/3P4/3Q4/8/PPP2P1P/R3K2R b - - 0 1,0.5
2q1k3/ppp1bpp1/3p4/3P4/3Q4/8/PPP2P1P/R3K2R w - - 0 1,0.5
2q1k3/ppp1bpQ1/3p4/3P4/8/8/PPP2P1P/R3K2R b - - 0 1,0.5
4k3/ppp1bpQ1/3p4/3P4/6q1/8/PPP2P1P/R3K2R w - - 0 1,0.5
4k3/ppp1bp2/3p4/3P4/6Q1/8/PPP2P1P/R3K2R b - - 0 1,0.5
4k3/ppp1b3/3p1p2/3P4/6Q1/8/PPP2P1P/R3K2R w - - 0 1,0.5
4k3/ppp1b3/3p1p2/3P4/1Q6/8/PPP2P1P/R3K2R b - - 0 1,0.5
4k3/ppp1b3/3p4/3P4/1Q3p2/8/PPP2P1P/R3K2R w - - 0 1,0.5
4k3/pQp1b3/3p4/3P4/5p2/8/PPP2P1P/R3K2R b - - 0 1,0.5
4k3/pQp1b3/3p4/3P4/8/5p2/PPP2P1P/R3K2R w - - 0 1,0.5
4k3/pQp1b3/3p4/3P4/7P/5p2/PPP2P2/R3K2R b - - 0 1,0.5
4k3/pQp5/3p4/3P4/7b/5p2/PPP2P2/R3K2R w - - 0 1,0.5
4k3/pQp5/3p4/3P4/7R/5p2/PPP2P2/R3K3 b - - 0 1,0.5
8/pQp2k2/3p4/3P4/7R/5p2/PPP2P2/R3K3 w - - 0 1,0.5
8/p1Q2k2/3p4/3P4/7R/5p2/PPP2P2/R3K3 b - - 0 1,0.5
4k3/p1Q5/3p4/3P4/7R/5p2/PPP2P2/R3K3 w - - 0 1,0.5
2Q1k3/p7/3p4/3P4/7R/5p2/PPP2P2/R3K3 b - - 0 1,0.5
2Q5/p4k2/3p4/3P4/7R/5p2/PPP2P2/R3K3 w - - 0 1,0.5
2Q5/p4k2/3p4/3P4/7R/5p2/PPP2P2/2R1K3 b - - 0 1,0.5
2Q5/p5k1/3p4/3P4/7R/5p2/PPP2P2/2R1K3 w - - 0 1,0.5
2Q5/p5k1/3p4/3P4/7R/5p2/PPP2P2/1R2K3 b - - 0 1,0.5
2Q5/6k1/p2p4/3P4/7R/5p2/PPP2P2/1R2K3 w - - 0 1,0.5
8/6k1/Q2p4/3P4/7R/5p2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/Q2p2k1/3P4/7R/5p2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/Q2p2k1/3P4/8/5p2/PPP2P1R/1R2K3 b - - 0 1,0.5
8/8/Q2p4/3P2k1/8/5p2/PPP2P1R/1R2K3 w - - 0 1,0.5
8/8/3Q4/3P2k1/8/5p2/PPP2P1R/1R2K3 b - - 0 1,0.5
8/8/3Q4/3P1k2/8/5p2/PPP2P1R/1R2K3 w - - 0 1,0.5
8/8/3Q3R/3P1k2/8/5p2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/3Q3R/3P4/4k3/5p2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/2Q4R/3P4/4k3/5p2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/2Q4R/3Pk3/8/5p2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/2QP3R/4k3/8/5p2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/2QP3R/5k2/8/5p2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/3P3R/5k2/8/5Q2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/3P3R/6k1/8/5Q2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/3PR3/6k1/8/5Q2/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/3PR3/8/7k/5Q2/PPP2P2/1R2K3 w - - 0 1,0.5
8/8/3PR3/8/7k/2Q5/PPP2P2/1R2K3 b - - 0 1,0.5
8/8/3PR3/8/6k1/2Q5/PPP2P2/1R2K3 w - - 0 1,0.5
8/3P4/4R3/8/6k1/2Q5/PPP2P2/1R2K3 b - - 0 1,0.5
8/3P4/4R3/5k2/8/2Q5/PPP2P2/1R2K3 w - - 0 1,0.5
8/3P4/4R3/2Q2k2/8/8/PPP2P2/1R2K3 b - - 0 1,0.5
8/3P4/4k3/2Q5/8/8/PPP2P2/1R2K3 w - - 0 1,0.5
3Q4/8/4k3/2Q5/8/8/PPP2P2/1R2K3 b - - 0 1,0.5
3Q4/5k2/8/2Q5/8/8/PPP2P2/1R2K3 w - - 0 1,0.5
3Q4/5k2/8/2Q5/8/8/PPP1KP2/1R6 b - - 0 1,0.5
3Q4/8/4k3/2Q5/8/8/PPP1KP2/1R6 w - - 0 1,0.5
3Q4/8/4k3/2Q5/8/8/PPP1KP2/R7 b - - 0 1,0.5
3Q4/5k2/8/2Q5/8/8/PPP1KP2/R7 w - - 0 1,0.5
3Q4/5k2/8/8/1Q6/8/PPP1KP2/R7 b - - 0 1,0.5
3Q4/8/6k1/8/1Q6/8/PPP1KP2/R7 w - - 0 1,0.5
3Q4/8/6k1/8/1Q6/8/PPP2P2/R4K2 b - - 0 1,0.5
3Q4/8/8/7k/1Q6/8/PPP2P2/R4K2 w - - 0 1,0.5
3Q1Q2/8/8/7k/8/8/PPP2P2/R4K2 b - - 0 1,0.5
3Q1Q2/8/8/8/6k1/8/PPP2P2/R4K2 w - - 0 1,0.5
3Q1Q2/8/8/8/6k1/8/PPP2P2/3R1K2 b - - 0 1,0.5
3Q1Q2/8/8/7k/8/8/PPP2P2/3R1K2 w - - 0 1,0.5
3Q4/8/8/5Q1k/8/8/PPP2P2/3R1K2 b - - 0 1,0.5
3Q4/8/7k/5Q2/8/8/PPP2P2/3R1K2 w - - 0 1,0.5
2QQ4/8/7k/8/8/8/PPP2P2/3R1K2 b - - 0 1,0.5
2QQ4/7k/8/8/8/8/PPP2P2/3R1K2 w - - 0 1,0.5
2QQ4/7k/8/8/8/8/PPP2P2/1R3K2 b - - 0 1,0.5
2QQ4/6k1/8/8/8/8/PPP2P2/1R3K2 w - - 0 1,0.5
3Q4/6k1/8/8/6Q1/8/PPP2P2/1R3K2 b - - 0 1,0.5
3Q4/5k2/8/8/6Q1/8/PPP2P2/1R3K2 w - - 0 1,0.5
4Q3/5k2/8/8/6Q1/8/PPP2P2/1R3K2 b - - 0 1,0.5
4k3/8/8/8/6Q1/8/PPP2P2/1R3K2 w - - 0 1,0.5
4k3/8/8/8/4Q3/8/PPP2P2/1R3K2 b - - 0 1,0.5
8/3k4/8/8/4Q3/8/PPP2P2/1R3K2 w - - 0 1,0.5
8/3k4/8/8/4Q3/8/PPP2PK1/1R6 b - - 0 1,0.5
3k4/8/8/8/4Q3/8/PPP2PK1/1R6 w - - 0 1,0.5
3k4/7Q/8/8/8/8/PPP2PK1/1R6 b - - 0 1,0.5
2k5/7Q/8/8/8/8/PPP2PK1/1R6 w - - 0 1,0.5
2k5/8/8/8/4Q3/8/PPP2PK1/1R6 b - - 0 1,0.5
1k6/8/8/8/4Q3/8/PPP2PK1/1R6 w - - 0 1,0.5
1k6/8/8/8/4Q3/8/PPP2PK1/6R1 b - - 0 1,0.5
8/k7/8/8/4Q3/8/PPP2PK1/6R1 w - - 0 1,0.5
8/k7/8/8/8/8/PPP1QPK1/6R1 b - - 0 1,0.5
8/8/1k6/8/8/8/PPP1QPK1/6R1 w - - 0 1,0.5
8/8/1k6/8/8/6K1/PPP1QP2/6R1 b - - 0 1,0.5
8/1k6/8/8/8/6K1/PPP1QP2/6R1 w - - 0 1,0.5
8/1k6/8/8/8/8/PPP1QPK1/6R1 b - - 0 1,0.5
k7/8/8/8/8/8/PPP1QPK1/6R1 w - - 0 1,0.5
k7/8/8/7Q/8/8/PPP2PK1/6R1 b - - 0 1,0.5
1k6/8/8/7Q/8/8/PPP2PK1/6R1 w - - 0 1,0.5
1k6/8/8/8/6Q1/8/PPP2PK1/6R1 b - - 0 1,0.5
8/k7/8/8/6Q1/8/PPP2PK1/6R1 w - - 0 1,0.5
8/k7/8/8/8/8/PPP2PK1/3Q2R1 b - - 0 1,0.5
8/8/1k6/8/8/8/PPP2PK1/3Q2R1 w - - 0 1,0.5
8/3Q4/1k6/8/8/8/PPP2PK1/6R1 b - - 0 1,0.5
8/3Q4/8/2k5/8/8/PPP2PK1/6R1 w - - 0 1,0.5
8/8/8/2k5/8/3Q4/PPP2PK1/6R1 b - - 0 1,0.5
8/8/8/8/1k6/3Q4/PPP2PK1/6R1 w - - 0 1,0.5
8/8/8/8/1k6/1Q6/PPP2PK1/6R1 b - - 0 1,0.5
8/8/8/2k5/8/1Q6/PPP2PK1/6R1 w - - 0 1,0.5
8/8/8/2k5/8/1Q6/PPP2PK1/R7 b - - 0 1,0.5
8/8/3k4/8/8/1Q6/PPP2PK1/R7 w - - 0 1,0.5
8/8/3k4/8/8/1Q6/PPP2PK1/1R6 b - - 0 1,0.5
8/8/2k5/8/8/1Q6/PPP2PK1/1R6 w - - 0 1,0.5
8/8/2k5/8/8/1Q6/PPP2P2/1R5K b - - 0 1,0.5
8/3k4/8/8/8/1Q6/PPP2P2/1R5K w - - 0 1,0.5
8/3k4/8/8/2Q5/8/PPP2P2/1R5K b - - 0 1,0.5
8/4k3/8/8/2Q5/8/PPP2P2/1R5K w - - 0 1,0.5
8/4k3/8/8/2Q5/8/PPP2P2/4R2K b - - 0 1,0.5
8/8/5k2/8/2Q5/8/PPP2P2/4R2K w - - 0 1,0.5
8/8/5k2/8/2Q5/8/PPP2P2/2R4K b - - 0 1,0.5
8/8/8/6k1/2Q5/8/PPP2P2/2R4K w - - 0 1,0.5
8/8/8/6k1/2Q5/8/PPP2P2/4R2K b - - 0 1,0.5
8/8/8/7k/2Q5/8/PPP2P2/4R2K w - - 0 1,0.5
8/8/4R3/7k/2Q5/8/PPP2P2/7K b - - 0 1,0.5
8/8/4R3/6k1/2Q5/8/PPP2P2/7K w - - 0 1,0.5
8/8/4R3/6k1/2Q5/8/PPP2P1K/8 b - - 0 1,0.5
8/8/4R3/7k/2Q5/8/PPP2P1K/8 w - - 0 1,0.5
8/8/4R3/7k/8/1Q6/PPP2P1K/8 b - - 0 1,0.5
8/8/4R3/6k1/8/1Q6/PPP2P1K/8 w - - 0 1,0.5
8/1Q6/4R3/6k1/8/8/PPP2P1K/8 b - - 0 1,0.5
8/1Q6/4R3/8/6k1/8/PPP2P1K/8 w - - 0 1,0.5
8/1Q6/R7/8/6k1/8/PPP2P1K/8 b - - 0 1,0.5
8/1Q6/R7/8/5k2/8/PPP2P1K/8 w - - 0 1,0.5
8/2Q5/R7/8/5k2/8/PPP2P1K/8 b - - 0 1,0.5
8/2Q5/R7/8/6k1/8/PPP2P1K/8 w - - 0 1,0.5
8/8/R7/8/6k1/6Q1/PPP2P1K/8 b - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w - - 0 1,0.5
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b - - 0 1,0.5
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w - - 0 1,0.5
rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b - - 0 1,0.5
rnbqkb1r/pppp1ppp/4pn2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w - - 0 1,0.5
rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n1pn2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n1p3/8/3Pn3/2N2N2/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppp1ppp/2n1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/pppp1ppp/4p3/8/3nN3/5N2/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/pppp1ppp/4p3/8/3NN3/8/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp2ppp/4p3/3p4/3NN3/8/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppp2ppp/4N3/3p4/4N3/8/PPP2PPP/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp2p1p/4N1p1/3p4/4N3/8/PPP2PPP/R1BQKB1R w - - 0 1,0.5
r1bqkb1r/ppp2p1p/4N1p1/3p4/4N1P1/8/PPP2P1P/R1BQKB1R b - - 0 1,0.5
r1bqkb1r/ppp2p1p/4N1p1/8/4p1P1/8/PPP2P1P/R1BQKB1R w - - 0 1,0.5
r1bNkb1r/ppp2p1p/6p1/8/4p1P1/8/PPP2P1P/R1BQKB1R b - - 0 1,0.5
r2Nkb1r/ppp2p1p/6p1/8/4p1b1/8/PPP2P1P/R1BQKB1R w - - 0 1,0.5
r2Nkb1r/ppp2p1p/6p1/8/4p1Q1/8/PPP2P1P/R1B1KB1R b - - 0 1,0.5
3rkb1r/ppp2p1p/6p1/8/4p1Q1/8/PPP2P1P/R1B1KB1R w - - 0 1,0.5
3rkb1r/ppp2p1p/6p1/8/4Q3/8/PPP2P1P/R1B1KB1R b - - 0 1,0.5
3r1b1r/pppk1p1p/6p1/8/4Q3/8/PPP2P1P/R1B1KB1R w - - 0 1,0.5
3r1b1r/pQpk1p1p/6p1/8/8/8/PPP2P1P/R1B1KB1R b - - 0 1,0.5
3r1b1r/pQpk1p1p/8/8/6p1/8/PPP2P1P/R1B1KB1R w - - 0 1,0.5
3r1b1r/Q1pk1p1p/8/8/6p1/8/PPP2P1P/R1B1KB1R b - - 0 1,0.5
3r1b1r/Q1pk1p1p/8/8/8/6p1/PPP2P1P/R1B1KB1R w - - 0 1,0.5
3r1b1r/Q1pk1p1p/8/8/8/6P1/PPP2P2/R1B1KB1R b - - 0 1,0.5
3rkb1r/Q1p2p1p/8/8/8/6P1/PPP2P2/R1B1KB1R w - - 0 1,0.5
3rkb1r/2Q2p1p/8/8/8/6P1/PPP2P2/R1B1KB1R b - - 0 1,0.5
r3kb1r/2Q2p1p/8/8/8/6P1/PPP2P2/R1B1KB1R w - - 0 1,0.5
r3kb1r/2Q2p1R/8/8/8/6P1/PPP2P2/R1B1KB2 b - - 0 1,0.5
r3kb2/2Q2p1r/8/8/8/6P1/PPP2P2/R1B1KB2 w - - 0 1,0.5
r3kb2/5Q1r/8/8/8/6P1/PPP2P2/R1B1KB2 b - - 0 1,0.5
r3kb2/5r2/8/8/8/6P1/PPP2P2/R1B1KB2 w - - 0 1,0.5
r3kb2/5r2/8/6P1/8/8/PPP2P2/R1B1KB2 b - - 0 1,0.5
r3kb2/8/8/6P1/8/8/PPP2r2/R1B1KB2 w - - 0 1,0.5
r3kb2/8/8/6P1/8/8/PPP2K2/R1B2B2 b - - 0 1,0.5
4kb2/8/8/6P1/8/8/rPP2K2/R1B2B2 w - - 0 1,0.5
4kb2/8/8/6P1/8/8/RPP2K2/2B2B2 b - - 0 1,0.5
4k3/8/8/6P1/1b6/8/RPP2K2/2B2B2 w - - 0 1,0.5
4k3/8/6P1/8/1b6/8/RPP2K2/2B2B2 b - - 0 1,0.5
4k3/8/3b2P1/8/8/8/RPP2K2/2B2B2 w - - 0 1,0.5
4k3/6P1/3b4/8/8/8/RPP2K2/2B2B2 b - - 0 1,0.5
8/3k2P1/3b4/8/8/8/RPP2K2/2B2B2 w - - 0 1,0.5
6Q1/3k4/3b4/8/8/8/RPP2K2/2B2B2 b - - 0 1,0.5
6Q1/3k4/8/4b3/8/8/RPP2K2/2B2B2 w - - 0 1,0.5
6Q1/R2k4/8/4b3/8/8/1PP2K2/2B2B2 b - - 0 1,0.5
6Q1/R1bk4/8/8/8/8/1PP2K2/2B2B2 w - - 0 1,0.5
6Q1/2Rk4/8/8/8/8/1PP2K2/2B2B2 b - - 0 1,0.5
6Q1/2k5/8/8/8/8/1PP2K2/2B2B2 w - - 0 1,0.5
6Q1/2k5/8/8/8/4B3/1PP2K2/5B2 b - - 0 1,0.5
6Q1/8/2k5/8/8/4B3/1PP2K2/5B2 w - - 0 1,0.5
6Q1/8/2k5/6B1/8/8/1PP2K2/5B2 b - - 0 1,0.5
6Q1/8/8/2k3B1/8/8/1PP2K2/5B2 w - - 0 1,0.5
8/6Q1/8/2k3B1/8/8/1PP2K2/5B2 b - - 0 1,0.5
8/6Q1/1k6/6B1/8/8/1PP2K2/5B2 w - - 0 1,0.5
8/4B1Q1/1k6/8/8/8/1PP2K2/5B2 b - - 0 1,0.5
8/4B1Q1/8/k7/8/8/1PP2K2/5B2 w - - 0 1,0.5
8/4B1Q1/8/k7/2B5/8/1PP2K2/8 b - - 0 1,0.5
8/4B1Q1/1k6/8/2B5/8/1PP2K2/8 w - - 0 1,0.5
8/4B1Q1/1k6/8/8/8/1PP2K2/5B2 b - - 0 1,0.5
8/k3B1Q1/8/8/8/8/1PP2K2/5B2 w - - 0 1,0.5
8/k3B1Q1/8/8/8/8/1PP2KB1/8 b - - 0 1,0.5
8/4B1Q1/1k6/8/8/8/1PP2KB1/8 w - - 0 1,0.5
8/4B1Q1/1k6/8/8/8/1PP3B1/4K3 b - - 0 1,0.5
8/4B1Q1/8/1k6/8/8/1PP3B1/4K3 w - - 0 1,0.5
8/4B1Q1/8/1k6/8/2P5/1P4B1/4K3 b - - 0 1,0.5
8/4B1Q1/8/8/2k5/2P5/1P4B1/4K3 w - - 0 1,0.5
8/1B2B1Q1/8/8/2k5/2P5/1P6/4K3 b - - 0 1,0.5
8/1B2B1Q1/8/8/8/2Pk4/1P6/4K3 w - - 0 1,0.5
8/1B2B1Q1/8/2P5/8/3k4/1P6/4K3 b - - 0 1,0.5
8/1B2B1Q1/8/2P5/8/8/1Pk5/4K3 w - - 0 1,0.5
8/1B2B1Q1/2P5/8/8/8/1Pk5/4K3 b - - 0 1,0.5
8/1B2B1Q1/2P5/8/8/8/1P6/1k2K3 w - - 0 1,0.5
8/1BP1B1Q1/8/8/8/8/1P6/1k2K3 b - - 0 1,0.5
8/1BP1B1Q1/8/8/8/8/1P6/2k1K3 w - - 0 1,0.5
2Q5/1B2B1Q1/8/8/8/8/1P6/2k1K3 b - - 0 1,0.5
2Q5/1B2B1Q1/8/8/8/8/1P6/1k2K3 w - - 0 1,0.5
7Q/1B2B1Q1/8/8/8/8/1P6/1k2K3 b - - 0 1,0.5
7Q/1B2B1Q1/8/8/8/8/1P6/k3K3 w - - 0 1,0.5
7Q/1B2B3/8/8/3Q4/8/1P6/k3K3 b - - 0 1,0.5
7Q/1B2B3/8/8/3Q4/8/kP6/4K3 w - - 0 1,0.5
7Q/1B2B3/5Q2/8/8/8/kP6/4K3 b - - 0 1,0.5
7Q/1B2B3/5Q2/8/8/8/1P6/1k2K3 w - - 0 1,0.5
8/1B2B3/5Q2/8/8/8/1P6/1k2K2Q b - - 0 1,0.5
8/1B2B3/5Q2/8/8/8/1P6/2k1K2Q w - - 0 1,0.5
8/1B2B3/8/4Q3/8/8/1P6/2k1K2Q b - - 0 1,0.5
8/1B2B3/8/4Q3/8/8/1Pk5/4K2Q w - - 0 1,0.5
8/1B2B3/8/8/3Q4/8/1Pk5/4K2Q b - - 0 1,0.5
8/1B2B3/8/8/3Q4/8/1P6/1k2K2Q w - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P6/1k2K2Q b - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P6/2k1K2Q w - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P5Q/2k1K3 b - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P5Q/1k2K3 w - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P6/1k2K1Q1 b - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/kP6/4K1Q1 w - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/kP3Q2/4K3 b - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P3Q2/k3K3 w - - 0 1,0.5
8/1B2B3/8/8/1Q3Q2/8/1P6/k3K3 b - - 0 1,0.5
8/1B2B3/8/8/1Q3Q2/8/kP6/4K3 w - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/kP3Q2/4K3 b - - 0 1,0.5
8/1B2B3/8/8/1Q6/8/1P3Q2/1k2K3 w - - 0 1,0.5
8/1B6/3B4/8/1Q6/8/1P3Q2/1k2K3 b - - 0 1,0.5
8/1B6/3B4/8/1Q6/8/1P3Q2/k3K3 w - - 0 1,0.5
8/1B6/8/2B5/1Q6/8/1P3Q2/k3K3 b - - 0 1,0.5
8/1B6/8/2B5/1Q6/8/kP3Q2/4K3 w - - 0 1,0.5
B7/8/8/2B5/1Q6/8/kP3Q2/4K3 b - - 0 1,0.5
B7/8/8/2B5/1Q6/8/1P3Q2/k3K3 w - - 0 1,0.5
B7/8/8/2B5/1Q5Q/8/1P6/k3K3 b - - 0 1,0.5
B7/8/8/2B5/1Q5Q/8/kP6/4K3 w - - 0 1,0.5
B7/8/8/2B5/1Q5Q/8/kP2K3/8 b - - 0 1,0.5
B7/8/8/2B5/1Q5Q/8/1P2K3/1k6 w - - 0 1,0.5
B7/B7/8/8/1Q5Q/8/1P2K3/1k6 b - - 0 1,0.5
B7/B7/8/8/1Q5Q/8/1Pk1K3/8 w - - 0 1,0.5
